model,observable,class,R2,ci_lo,ci_hi,n
pretrained,count_d0_gt_1sigma,QCD,0.694562,0.665843,0.721197,10000
pretrained,count_d0_gt_2sigma,QCD,0.547062,0.500417,0.576381,10000
pretrained,count_dz_gt_2sigma,QCD,0.480327,0.446710,0.507396,10000
pretrained,multiplicity,QCD,0.956587,0.948824,0.962420,10000
pretrained,jet_mass,QCD,0.874643,0.858547,0.889093,10000
pretrained,width,QCD,0.887500,0.872592,0.899098,10000
pretrained,count_d0_gt_1sigma,Hbb,0.512559,0.476896,0.543400,10000
pretrained,count_d0_gt_2sigma,Hbb,0.504802,0.472620,0.532293,10000
pretrained,count_dz_gt_2sigma,Hbb,0.441013,0.406427,0.470275,10000
pretrained,multiplicity,Hbb,0.897994,0.887125,0.906186,10000
pretrained,jet_mass,Hbb,0.593370,0.543015,0.636189,10000
pretrained,width,Hbb,0.631199,0.597360,0.662109,10000
pretrained,count_d0_gt_1sigma,Hcc,0.488502,0.465712,0.511031,10000
pretrained,count_d0_gt_2sigma,Hcc,0.437169,0.402872,0.469072,10000
pretrained,count_dz_gt_2sigma,Hcc,0.318762,0.288647,0.350479,10000
pretrained,multiplicity,Hcc,0.915122,0.908282,0.921539,10000
pretrained,jet_mass,Hcc,0.517798,0.464669,0.571466,10000
pretrained,width,Hcc,0.646679,0.620404,0.672084,10000
pretrained,count_d0_gt_1sigma,Hgg,0.465913,0.426580,0.497549,10000
pretrained,count_d0_gt_2sigma,Hgg,0.469950,0.428987,0.516962,10000
pretrained,count_dz_gt_2sigma,Hgg,0.413991,0.364791,0.453990,10000
pretrained,multiplicity,Hgg,0.923860,0.918095,0.929434,10000
pretrained,jet_mass,Hgg,0.572153,0.508860,0.629285,10000
pretrained,width,Hgg,0.716401,0.680265,0.737911,10000
pretrained,count_d0_gt_1sigma,H4q,0.377766,0.334015,0.410385,10000
pretrained,count_d0_gt_2sigma,H4q,0.369219,0.339861,0.399617,10000
pretrained,count_dz_gt_2sigma,H4q,0.302593,0.259504,0.332807,10000
pretrained,multiplicity,H4q,0.871905,0.858434,0.882411,10000
pretrained,jet_mass,H4q,0.450094,0.338792,0.530400,10000
pretrained,width,H4q,0.558587,0.522714,0.595111,10000
pretrained,count_d0_gt_1sigma,Hqql,0.479599,0.436671,0.510306,10000
pretrained,count_d0_gt_2sigma,Hqql,0.465144,0.424610,0.501076,10000
pretrained,count_dz_gt_2sigma,Hqql,0.361196,0.318554,0.397847,10000
pretrained,multiplicity,Hqql,0.881592,0.871621,0.890286,10000
pretrained,jet_mass,Hqql,0.695122,0.663446,0.718733,10000
pretrained,width,Hqql,0.705647,0.683209,0.730092,10000
pretrained,count_d0_gt_1sigma,Zqq,0.636385,0.603705,0.658607,10000
pretrained,count_d0_gt_2sigma,Zqq,0.742255,0.719880,0.761359,10000
pretrained,count_dz_gt_2sigma,Zqq,0.686108,0.659378,0.709757,10000
pretrained,multiplicity,Zqq,0.906680,0.897831,0.916391,10000
pretrained,jet_mass,Zqq,0.619676,0.557515,0.666914,10000
pretrained,width,Zqq,0.687517,0.640738,0.716417,10000
pretrained,count_d0_gt_1sigma,Wqq,0.471954,0.447724,0.497878,10000
pretrained,count_d0_gt_2sigma,Wqq,0.422640,0.379361,0.461284,10000
pretrained,count_dz_gt_2sigma,Wqq,0.371101,0.332647,0.426359,10000
pretrained,multiplicity,Wqq,0.910855,0.901327,0.917773,10000
