model,observable,R2_real,R2_shuffled,selectivity,ci_lo,ci_hi
pretrained,jet_mass,0.875912,-0.001208,0.877120,-0.002045,-0.000214
pretrained,jet_pt,0.614635,-0.001576,0.616211,-0.002572,-0.000842
pretrained,multiplicity,0.968105,-0.002220,0.970325,-0.003512,-0.001356
pretrained,tau1,0.728588,-0.001340,0.729928,-0.002519,-0.000206
pretrained,tau2,0.585857,-0.000270,0.586127,-0.001206,0.000384
pretrained,tau3,0.547085,-0.000744,0.547829,-0.001409,-0.000115
pretrained,tau21,0.402396,-0.002831,0.405227,-0.003974,-0.001787
pretrained,tau32,0.120305,-0.001403,0.121708,-0.002644,-0.000545
pretrained,C2,0.758600,-0.000363,0.758963,-0.001112,0.000238
pretrained,width,0.877359,-0.000726,0.878085,-0.001285,-0.000385
pretrained,mean_d0,0.061194,-0.002889,0.064083,-0.004320,-0.001799
pretrained,mean_abs_d0,0.057885,-0.001984,0.059869,-0.003508,-0.001031
pretrained,max_abs_d0,0.068323,-0.001357,0.069680,-0.002324,-0.000516
pretrained,top3_sum_abs_d0,0.085959,-0.001176,0.087135,-0.001943,-0.000478
pretrained,count_d0_gt_1sigma,0.679200,-0.001150,0.680350,-0.001988,-0.000295
pretrained,count_d0_gt_2sigma,0.718708,-0.002154,0.720862,-0.003227,-0.000837
pretrained,mean_dz,0.071960,-0.001147,0.073107,-0.001966,-0.000491
pretrained,mean_abs_dz,0.062385,-0.001648,0.064033,-0.002622,-0.000761
pretrained,max_abs_dz,0.071935,-0.001541,0.073476,-0.003041,-0.000789
pretrained,top3_sum_abs_dz,0.100717,-0.000854,0.101571,-0.001576,-0.000052
pretrained,count_dz_gt_1sigma,0.651176,-0.000306,0.651482,-0.000961,0.000350
pretrained,count_dz_gt_2sigma,0.655540,-0.000399,0.655939,-0.001172,0.000210
pretrained,charged_frac,0.501086,-0.000435,0.501521,-0.001223,0.000129
pretrained,n_charged,0.896184,-0.001152,0.897336,-0.002103,-0.000455
full_ft_3M_seed42,jet_mass,0.310653,-0.000840,0.311493,-0.001691,-0.000397
full_ft_3M_seed42,jet_pt,0.003556,-0.001101,0.004657,-0.001864,-0.000465
full_ft_3M_seed42,multiplicity,0.299490,-0.000858,0.300348,-0.001714,-0.000060
full_ft_3M_seed42,tau1,0.230519,-0.000631,0.231150,-0.001395,0.000121
full_ft_3M_seed42,tau2,0.246293,-0.002783,0.249076,-0.004081,-0.001448
full_ft_3M_seed42,tau3,0.233299,-0.000366,0.233665,-0.001049,0.000136
full_ft_3M_seed42,tau21,0.215847,-0.000822,0.216669,-0.001675,-0.000191
full_ft_3M_seed42,tau32,0.015792,-0.001232,0.017024,-0.002123,-0.000408
full_ft_3M_seed42,C2,0.166332,-0.002078,0.168410,-0.003028,-0.001328
full_ft_3M_seed42,width,0.281936,-0.000530,0.282466,-0.000914,-0.000118
full_ft_3M_seed42,mean_d0,0.000082,-0.001235,0.001317,-0.001844,-0.000538
full_ft_3M_seed42,mean_abs_d0,0.000552,-0.000493,0.001045,-0.001111,0.000028
full_ft_3M_seed42,max_abs_d0,0.010760,-0.000429,0.011189,-0.001095,-0.000014
full_ft_3M_seed42,top3_sum_abs_d0,0.012865,-0.000570,0.013435,-0.001420,0.000374
full_ft_3M_seed42,count_d0_gt_1sigma,0.233466,-0.001171,0.234637,-0.002092,-0.000518
full_ft_3M_seed42,count_d0_gt_2sigma,0.327060,-0.001170,0.328230,-0.002209,-0.000203
full_ft_3M_seed42,mean_dz,-0.000324,-0.001206,0.000882,-0.001978,-0.000603
full_ft_3M_seed42,mean_abs_dz,-0.001006,-0.001198,0.000192,-0.002244,-0.000444
full_ft_3M_seed42,max_abs_dz,0.007519,-0.002050,0.009569,-0.003004,-0.001249
full_ft_3M_seed42,top3_sum_abs_dz,0.010330,-0.000554,0.010884,-0.001224,0.000193
full_ft_3M_seed42,count_dz_gt_1sigma,0.221804,-0.001055,0.222859,-0.001933,-0.000396
full_ft_3M_seed42,count_dz_gt_2sigma,0.289707,-0.001380,0.291087,-0.002423,-0.000778
full_ft_3M_seed42,charged_frac,0.002764,-0.000644,0.003408,-0.001398,0.000086
full_ft_3M_seed42,n_charged,0.250033,-0.001383,0.251416,-0.002403,-0.000304
