class,baseline_AUC,zero_AUC,resample_AUC,delta_zero,delta_resample
QCD,0.947903,0.936359,0.847845,0.011544,0.100058
Hbb,0.972181,0.948075,0.856828,0.024106,0.115352
Hcc,0.882176,0.848658,0.732658,0.033518,0.149517
Hgg,0.940928,0.919663,0.820072,0.021265,0.120857
H4q,0.944302,0.930390,0.840621,0.013912,0.103681
Hqql,0.994541,0.992007,0.926341,0.002535,0.068200
Zqq,0.856548,0.840755,0.742052,0.015793,0.114497
Wqq,0.910977,0.894370,0.818000,0.016607,0.092977
Tbqq,0.975194,0.954012,0.888271,0.021182,0.086923
Tbl,0.998264,0.996169,0.955803,0.002095,0.042461
macro,0.942301,0.926046,0.842849,0.016256,0.099452
