R2_mean,R2_lo,R2_hi,model,observable,n_train,n_val,n_test
0.873448,0.869069,0.877917,pretrained,jet_mass,70000,10000,20000
0.614119,0.604074,0.623356,pretrained,jet_pt,70000,10000,20000
0.967951,0.966866,0.968888,pretrained,multiplicity,70000,10000,20000
0.728590,0.721314,0.737152,pretrained,tau1,70000,10000,20000
0.583355,0.572788,0.593706,pretrained,tau2,70000,10000,20000
0.548848,0.535529,0.558088,pretrained,tau3,70000,10000,20000
0.399372,0.387747,0.408359,pretrained,tau21,70000,10000,20000
0.125312,0.117252,0.133144,pretrained,tau32,70000,10000,20000
0.761361,0.711015,0.802937,pretrained,C2,70000,10000,20000
0.878786,0.876158,0.882988,pretrained,width,70000,10000,20000
0.056378,0.047805,0.066578,pretrained,mean_d0,70000,10000,20000
0.057608,0.049019,0.065334,pretrained,mean_abs_d0,70000,10000,20000
0.066819,0.060613,0.074613,pretrained,max_abs_d0,70000,10000,20000
0.082387,0.075585,0.092051,pretrained,top3_sum_abs_d0,70000,10000,20000
0.677545,0.669447,0.684535,pretrained,count_d0_gt_1sigma,70000,10000,20000
0.719229,0.712963,0.726314,pretrained,count_d0_gt_2sigma,70000,10000,20000
0.069648,0.057941,0.078310,pretrained,mean_dz,70000,10000,20000
0.075197,0.062945,0.090832,pretrained,mean_abs_dz,70000,10000,20000
0.071218,0.059960,0.082528,pretrained,max_abs_dz,70000,10000,20000
0.100569,0.089861,0.112784,pretrained,top3_sum_abs_dz,70000,10000,20000
0.650901,0.644601,0.659643,pretrained,count_dz_gt_1sigma,70000,10000,20000
0.656046,0.649019,0.663282,pretrained,count_dz_gt_2sigma,70000,10000,20000
0.501735,0.492357,0.513084,pretrained,charged_frac,70000,10000,20000
0.895956,0.893069,0.898487,pretrained,n_charged,70000,10000,20000
0.297532,0.283512,0.316838,partial_ft_3M_seed42,jet_mass,70000,10000,20000
0.002003,-0.000093,0.003368,partial_ft_3M_seed42,jet_pt,70000,10000,20000
0.287263,0.279468,0.298019,partial_ft_3M_seed42,multiplicity,70000,10000,20000
0.222081,0.210121,0.234796,partial_ft_3M_seed42,tau1,70000,10000,20000
0.238882,0.227242,0.251715,partial_ft_3M_seed42,tau2,70000,10000,20000
0.226474,0.218103,0.236437,partial_ft_3M_seed42,tau3,70000,10000,20000
0.212486,0.200474,0.222538,partial_ft_3M_seed42,tau21,70000,10000,20000
0.016174,0.012692,0.019571,partial_ft_3M_seed42,tau32,70000,10000,20000
0.160270,0.141508,0.183734,partial_ft_3M_seed42,C2,70000,10000,20000
0.270118,0.256765,0.280851,partial_ft_3M_seed42,width,70000,10000,20000
-0.000603,-0.001914,0.000314,partial_ft_3M_seed42,mean_d0,70000,10000,20000
0.000560,-0.000101,0.001137,partial_ft_3M_seed42,mean_abs_d0,70000,10000,20000
0.009186,0.006812,0.011923,partial_ft_3M_seed42,max_abs_d0,70000,10000,20000
0.010877,0.007746,0.014165,partial_ft_3M_seed42,top3_sum_abs_d0,70000,10000,20000
0.221071,0.209108,0.233540,partial_ft_3M_seed42,count_d0_gt_1sigma,70000,10000,20000
0.304169,0.293771,0.315455,partial_ft_3M_seed42,count_d0_gt_2sigma,70000,10000,20000
-0.000837,-0.002111,0.000245,partial_ft_3M_seed42,mean_dz,70000,10000,20000
0.000269,-0.000417,0.001029,partial_ft_3M_seed42,mean_abs_dz,70000,10000,20000
0.006047,0.003893,0.008072,partial_ft_3M_seed42,max_abs_dz,70000,10000,20000
0.005945,0.002889,0.009175,partial_ft_3M_seed42,top3_sum_abs_dz,70000,10000,20000
0.213860,0.205030,0.222724,partial_ft_3M_seed42,count_dz_gt_1sigma,70000,10000,20000
0.270486,0.258146,0.279499,partial_ft_3M_seed42,count_dz_gt_2sigma,70000,10000,20000
0.003126,0.001324,0.005055,partial_ft_3M_seed42,charged_frac,70000,10000,20000
0.242154,0.233538,0.254219,partial_ft_3M_seed42,n_charged,70000,10000,20000
