R2_mean,R2_lo,R2_hi,alpha,model,observable,n_train,n_test
0.740870,0.732471,0.748092,1.000000,pretrained,jet_mass,80000,20000
0.340443,0.328337,0.351336,10.000000,pretrained,jet_pt,80000,20000
0.921244,0.919453,0.923285,10.000000,pretrained,multiplicity,80000,20000
0.591814,0.581586,0.600620,10.000000,pretrained,tau1,80000,20000
0.537711,0.528102,0.547139,10.000000,pretrained,tau2,80000,20000
0.500042,0.489390,0.508288,10.000000,pretrained,tau3,80000,20000
0.327306,0.315462,0.335084,0.001000,pretrained,tau21,80000,20000
0.100717,0.094177,0.107247,100.000000,pretrained,tau32,80000,20000
0.610912,0.573235,0.658865,100.000000,pretrained,C2,80000,20000
0.728296,0.720250,0.735173,10.000000,pretrained,width,80000,20000
0.046509,0.041500,0.051476,100.000000,pretrained,mean_d0,80000,20000
0.046509,0.040350,0.052058,100.000000,pretrained,mean_abs_d0,80000,20000
0.065093,0.059410,0.071313,100.000000,pretrained,max_abs_d0,80000,20000
0.078022,0.072270,0.085844,100.000000,pretrained,top3_sum_abs_d0,80000,20000
0.643182,0.635851,0.649936,10.000000,pretrained,count_d0_gt_1sigma,80000,20000
0.680913,0.674075,0.688738,100.000000,pretrained,count_d0_gt_2sigma,80000,20000
0.061916,0.051169,0.068477,100.000000,pretrained,mean_dz,80000,20000
0.061916,0.054495,0.070572,100.000000,pretrained,mean_abs_dz,80000,20000
0.066369,0.059501,0.073138,100.000000,pretrained,max_abs_dz,80000,20000
0.091870,0.084137,0.098840,100.000000,pretrained,top3_sum_abs_dz,80000,20000
0.619607,0.612144,0.628658,10.000000,pretrained,count_dz_gt_1sigma,80000,20000
0.619746,0.610648,0.629522,100.000000,pretrained,count_dz_gt_2sigma,80000,20000
0.274764,0.265252,0.284897,10.000000,pretrained,charged_frac,80000,20000
0.838542,0.834748,0.842519,1.000000,pretrained,n_charged,80000,20000
0.280207,0.266039,0.298372,1000.000000,partial_ft_3M_seed42,jet_mass,80000,20000
0.002831,0.000765,0.004349,1000.000000,partial_ft_3M_seed42,jet_pt,80000,20000
0.271396,0.263304,0.282447,1000.000000,partial_ft_3M_seed42,multiplicity,80000,20000
0.209107,0.196800,0.221352,1000.000000,partial_ft_3M_seed42,tau1,80000,20000
0.230373,0.219608,0.242121,1000.000000,partial_ft_3M_seed42,tau2,80000,20000
0.218457,0.209310,0.227305,1000.000000,partial_ft_3M_seed42,tau3,80000,20000
0.210548,0.198761,0.220588,1000.000000,partial_ft_3M_seed42,tau21,80000,20000
0.016134,0.012372,0.019516,1000.000000,partial_ft_3M_seed42,tau32,80000,20000
0.151359,0.133386,0.171871,1000.000000,partial_ft_3M_seed42,C2,80000,20000
0.256045,0.243279,0.266907,1000.000000,partial_ft_3M_seed42,width,80000,20000
-0.000779,-0.002016,0.000489,1000.000000,partial_ft_3M_seed42,mean_d0,80000,20000
-0.000779,-0.002027,0.000473,1000.000000,partial_ft_3M_seed42,mean_abs_d0,80000,20000
0.008477,0.005641,0.011297,1000.000000,partial_ft_3M_seed42,max_abs_d0,80000,20000
0.010349,0.006851,0.013849,1000.000000,partial_ft_3M_seed42,top3_sum_abs_d0,80000,20000
0.211444,0.200700,0.223432,1000.000000,partial_ft_3M_seed42,count_d0_gt_1sigma,80000,20000
0.288984,0.278048,0.300747,1000.000000,partial_ft_3M_seed42,count_d0_gt_2sigma,80000,20000
-0.000705,-0.002322,0.000521,1000.000000,partial_ft_3M_seed42,mean_dz,80000,20000
-0.000705,-0.002026,0.000651,1000.000000,partial_ft_3M_seed42,mean_abs_dz,80000,20000
0.005372,0.002762,0.008002,1000.000000,partial_ft_3M_seed42,max_abs_dz,80000,20000
0.008691,0.005612,0.011634,1000.000000,partial_ft_3M_seed42,top3_sum_abs_dz,80000,20000
0.203617,0.195038,0.213290,1000.000000,partial_ft_3M_seed42,count_dz_gt_1sigma,80000,20000
0.255184,0.242643,0.265147,1000.000000,partial_ft_3M_seed42,count_dz_gt_2sigma,80000,20000
0.002212,0.000198,0.004262,1000.000000,partial_ft_3M_seed42,charged_frac,80000,20000
0.228607,0.219571,0.239187,1000.000000,partial_ft_3M_seed42,n_charged,80000,20000
