R2_mean,R2_lo,R2_hi,alpha,model,observable,n_train,n_test
0.740870,0.732471,0.748092,1.000000,pretrained,jet_mass,80000,20000
0.340443,0.328337,0.351336,10.000000,pretrained,jet_pt,80000,20000
0.921244,0.919453,0.923285,10.000000,pretrained,multiplicity,80000,20000
0.591814,0.581586,0.600620,10.000000,pretrained,tau1,80000,20000
0.537711,0.528102,0.547139,10.000000,pretrained,tau2,80000,20000
0.500042,0.489390,0.508288,10.000000,pretrained,tau3,80000,20000
0.327306,0.315462,0.335084,0.001000,pretrained,tau21,80000,20000
0.100717,0.094177,0.107247,100.000000,pretrained,tau32,80000,20000
0.610912,0.573235,0.658865,100.000000,pretrained,C2,80000,20000
0.728296,0.720250,0.735173,10.000000,pretrained,width,80000,20000
0.046509,0.041500,0.051476,100.000000,pretrained,mean_d0,80000,20000
0.046509,0.040350,0.052058,100.000000,pretrained,mean_abs_d0,80000,20000
0.065093,0.059410,0.071313,100.000000,pretrained,max_abs_d0,80000,20000
0.078022,0.072270,0.085844,100.000000,pretrained,top3_sum_abs_d0,80000,20000
0.643182,0.635851,0.649936,10.000000,pretrained,count_d0_gt_1sigma,80000,20000
0.680913,0.674075,0.688738,100.000000,pretrained,count_d0_gt_2sigma,80000,20000
0.061916,0.051169,0.068477,100.000000,pretrained,mean_dz,80000,20000
0.061916,0.054495,0.070572,100.000000,pretrained,mean_abs_dz,80000,20000
0.066369,0.059501,0.073138,100.000000,pretrained,max_abs_dz,80000,20000
0.091870,0.084137,0.098840,100.000000,pretrained,top3_sum_abs_dz,80000,20000
0.619607,0.612144,0.628658,10.000000,pretrained,count_dz_gt_1sigma,80000,20000
0.619746,0.610648,0.629522,100.000000,pretrained,count_dz_gt_2sigma,80000,20000
0.274764,0.265252,0.284897,10.000000,pretrained,charged_frac,80000,20000
0.838542,0.834748,0.842519,1.000000,pretrained,n_charged,80000,20000
0.295140,0.281272,0.315710,1000.000000,full_ft_3M_seed42,jet_mass,80000,20000
0.003401,0.001843,0.004869,1000.000000,full_ft_3M_seed42,jet_pt,80000,20000
0.289159,0.280793,0.300152,100.000000,full_ft_3M_seed42,multiplicity,80000,20000
0.218598,0.205108,0.232876,1000.000000,full_ft_3M_seed42,tau1,80000,20000
0.238703,0.227729,0.252958,1000.000000,full_ft_3M_seed42,tau2,80000,20000
0.227442,0.219160,0.237038,1000.000000,full_ft_3M_seed42,tau3,80000,20000
0.213752,0.201423,0.223785,1000.000000,full_ft_3M_seed42,tau21,80000,20000
0.015348,0.012084,0.018574,1000.000000,full_ft_3M_seed42,tau32,80000,20000
0.153686,0.133763,0.175082,1000.000000,full_ft_3M_seed42,C2,80000,20000
0.269279,0.256201,0.280523,1000.000000,full_ft_3M_seed42,width,80000,20000
-0.000910,-0.002225,0.000242,1000.000000,full_ft_3M_seed42,mean_d0,80000,20000
-0.000910,-0.002102,-0.000017,1000.000000,full_ft_3M_seed42,mean_abs_d0,80000,20000
0.009523,0.006697,0.012486,1000.000000,full_ft_3M_seed42,max_abs_d0,80000,20000
0.011625,0.007863,0.015549,1000.000000,full_ft_3M_seed42,top3_sum_abs_d0,80000,20000
0.227521,0.217363,0.238003,1000.000000,full_ft_3M_seed42,count_d0_gt_1sigma,80000,20000
0.313573,0.302834,0.326737,1000.000000,full_ft_3M_seed42,count_d0_gt_2sigma,80000,20000
-0.000270,-0.001802,0.000705,1000.000000,full_ft_3M_seed42,mean_dz,80000,20000
-0.000270,-0.001529,0.001137,1000.000000,full_ft_3M_seed42,mean_abs_dz,80000,20000
0.007078,0.004772,0.009323,1000.000000,full_ft_3M_seed42,max_abs_dz,80000,20000
0.010638,0.007650,0.013963,1000.000000,full_ft_3M_seed42,top3_sum_abs_dz,80000,20000
0.217968,0.207702,0.228829,1000.000000,full_ft_3M_seed42,count_dz_gt_1sigma,80000,20000
0.279393,0.267180,0.289170,1000.000000,full_ft_3M_seed42,count_dz_gt_2sigma,80000,20000
0.003141,0.001396,0.005225,1000.000000,full_ft_3M_seed42,charged_frac,80000,20000
0.244077,0.235012,0.254802,100.000000,full_ft_3M_seed42,n_charged,80000,20000
