R2_mean,R2_lo,R2_hi,model,observable,n_train,n_val,n_test
0.875912,0.871449,0.880318,pretrained,jet_mass,70000,10000,20000
0.614635,0.603981,0.624316,pretrained,jet_pt,70000,10000,20000
0.968105,0.967139,0.968963,pretrained,multiplicity,70000,10000,20000
0.728588,0.720296,0.738750,pretrained,tau1,70000,10000,20000
0.585857,0.573798,0.596477,pretrained,tau2,70000,10000,20000
0.547085,0.535314,0.555586,pretrained,tau3,70000,10000,20000
0.402396,0.389851,0.410813,pretrained,tau21,70000,10000,20000
0.120305,0.112432,0.126996,pretrained,tau32,70000,10000,20000
0.758600,0.712693,0.800893,pretrained,C2,70000,10000,20000
0.877359,0.874657,0.880954,pretrained,width,70000,10000,20000
0.061194,0.054244,0.069461,pretrained,mean_d0,70000,10000,20000
0.057885,0.049212,0.065971,pretrained,mean_abs_d0,70000,10000,20000
0.068323,0.061979,0.076288,pretrained,max_abs_d0,70000,10000,20000
0.085959,0.076991,0.096672,pretrained,top3_sum_abs_d0,70000,10000,20000
0.679200,0.671752,0.686446,pretrained,count_d0_gt_1sigma,70000,10000,20000
0.718708,0.710737,0.726688,pretrained,count_d0_gt_2sigma,70000,10000,20000
0.071960,0.059415,0.080932,pretrained,mean_dz,70000,10000,20000
0.062385,0.049468,0.075103,pretrained,mean_abs_dz,70000,10000,20000
0.071935,0.059575,0.083248,pretrained,max_abs_dz,70000,10000,20000
0.100717,0.088067,0.110357,pretrained,top3_sum_abs_dz,70000,10000,20000
0.651176,0.645072,0.659424,pretrained,count_dz_gt_1sigma,70000,10000,20000
0.655540,0.646944,0.662943,pretrained,count_dz_gt_2sigma,70000,10000,20000
0.501086,0.491487,0.510481,pretrained,charged_frac,70000,10000,20000
0.896184,0.893059,0.899268,pretrained,n_charged,70000,10000,20000
0.310653,0.296540,0.332178,full_ft_3M_seed42,jet_mass,70000,10000,20000
0.003556,0.001949,0.004821,full_ft_3M_seed42,jet_pt,70000,10000,20000
0.299490,0.291496,0.310297,full_ft_3M_seed42,multiplicity,70000,10000,20000
0.230519,0.216802,0.244294,full_ft_3M_seed42,tau1,70000,10000,20000
0.246293,0.233538,0.261956,full_ft_3M_seed42,tau2,70000,10000,20000
0.233299,0.226020,0.242889,full_ft_3M_seed42,tau3,70000,10000,20000
0.215847,0.203590,0.226065,full_ft_3M_seed42,tau21,70000,10000,20000
0.015792,0.012337,0.019084,full_ft_3M_seed42,tau32,70000,10000,20000
0.166332,0.145547,0.186701,full_ft_3M_seed42,C2,70000,10000,20000
0.281936,0.269013,0.294666,full_ft_3M_seed42,width,70000,10000,20000
0.000082,-0.001025,0.001041,full_ft_3M_seed42,mean_d0,70000,10000,20000
0.000552,-0.000170,0.001271,full_ft_3M_seed42,mean_abs_d0,70000,10000,20000
0.010760,0.008132,0.013142,full_ft_3M_seed42,max_abs_d0,70000,10000,20000
0.012865,0.009812,0.016184,full_ft_3M_seed42,top3_sum_abs_d0,70000,10000,20000
0.233466,0.223014,0.245075,full_ft_3M_seed42,count_d0_gt_1sigma,70000,10000,20000
0.327060,0.317156,0.337520,full_ft_3M_seed42,count_d0_gt_2sigma,70000,10000,20000
-0.000324,-0.001862,0.000861,full_ft_3M_seed42,mean_dz,70000,10000,20000
-0.001006,-0.002460,0.000311,full_ft_3M_seed42,mean_abs_dz,70000,10000,20000
0.007519,0.005469,0.009701,full_ft_3M_seed42,max_abs_dz,70000,10000,20000
0.010330,0.006967,0.013261,full_ft_3M_seed42,top3_sum_abs_dz,70000,10000,20000
0.221804,0.211192,0.233127,full_ft_3M_seed42,count_dz_gt_1sigma,70000,10000,20000
0.289707,0.277856,0.298854,full_ft_3M_seed42,count_dz_gt_2sigma,70000,10000,20000
0.002764,0.001055,0.004329,full_ft_3M_seed42,charged_frac,70000,10000,20000
0.250033,0.242024,0.261913,full_ft_3M_seed42,n_charged,70000,10000,20000
