category,strategy,train_size,seed,test_acc,test_auc,n_epochs,total_params
frozen_base,frozen,100000000,123,0.81389375,0.9791230407276196,55,35594
frozen_base,frozen,100000000,42,0.815084,0.9792428695466666,55,35594
frozen_base,frozen,100000000,456,0.81366315,0.9791025070410473,47,35594
frozen_base,frozen,10000000,123,0.81434,0.9790175316866667,195,35594
frozen_base,frozen,10000000,42,0.81376,0.9790343732066666,197,35594
frozen_base,frozen,10000000,456,0.813888,0.9789242817866668,126,35594
frozen_base,frozen,1000000,123,0.809314,0.9778944028866666,340,35594
frozen_base,frozen,1000000,42,0.808732,0.9778171259577778,256,35594
frozen_base,frozen,1000000,456,0.80774,0.9777391124888888,233,35594
frozen_base,frozen,100000,123,0.793794,0.9744032300555554,337,35594
frozen_base,frozen,100000,42,0.793984,0.9743578204800001,382,35594
frozen_base,frozen,100000,456,0.794324,0.97455584512,401,35594
frozen_base,frozen,10000,123,0.76731,0.9672158940866666,210,35594
frozen_base,frozen,10000,42,0.766844,0.9672703053088888,245,35594
frozen_base,frozen,10000,456,0.76385,0.9662707214066668,204,35594
frozen_base,frozen,30000000,123,0.814866,0.979215514728889,124,35594
frozen_base,frozen,30000000,42,0.814718,0.9791551766733333,106,35594
frozen_base,frozen,30000000,456,0.81471,0.9791631831422223,90,35594
frozen_base,frozen,3000000,123,0.811512,0.9784678124466668,171,35594
frozen_base,frozen,3000000,42,0.812286,0.9785928562644445,267,35594
frozen_base,frozen,3000000,456,0.811638,0.9785536920177778,195,35594
frozen_base,frozen,300000,123,0.802418,0.9764659646466667,299,35594
frozen_base,frozen,300000,42,0.803106,0.9764495926244445,278,35594
frozen_base,frozen,300000,456,0.802128,0.9763839179733333,273,35594
frozen_base,frozen,30000,123,0.782186,0.9714564232644444,157,35594
frozen_base,frozen,30000,42,0.783022,0.9715327958244444,175,35594
frozen_base,frozen,30000,456,0.782056,0.9713469790844442,167,35594
full_ft,full_ft,10000000,42,0.845568,0.9852842610466664,25,2177790
full_ft,full_ft,1000000,123,0.829828,0.982663814608889,23,2177790
full_ft,full_ft,1000000,42,0.830498,0.9828097807911111,22,2177790
full_ft,full_ft,1000000,456,0.829596,0.9826163170488889,22,2177790
full_ft,full_ft,100000,123,0.792414,0.9755502796399999,46,2177790
full_ft,full_ft,100000,42,0.805742,0.9779218307555556,38,2177790
full_ft,full_ft,100000,456,0.79298,0.9757042114222221,43,2177790
full_ft,full_ft,10000,123,0.696936,0.9527915515377778,56,2177790
full_ft,full_ft,10000,42,0.693372,0.9521939824866665,63,2177790
full_ft,full_ft,10000,456,0.695216,0.9534067407488889,56,2177790
full_ft,full_ft,3000000,123,0.840424,0.98440803694,27,2177790
full_ft,full_ft,3000000,42,0.840066,0.9843650816377778,22,2177790
full_ft,full_ft,300000,123,0.819752,0.9807058594333334,31,2177790
full_ft,full_ft,300000,42,0.821702,0.9810997435444444,28,2177790
full_ft,full_ft,300000,456,0.821358,0.9811025029911112,31,2177790
full_ft,full_ft,30000,123,0.746448,0.9655966167288887,41,2177790
full_ft,full_ft,30000,42,0.757972,0.9683592585266666,61,2177790
full_ft,full_ft,30000,456,0.748468,0.9661379568222221,48,2177790
partial_ft,partial_ft,10000000,42,0.816868,0.98062695772,64,2177790
partial_ft,partial_ft,1000000,123,0.786526,0.9750203453244444,76,2177790
partial_ft,partial_ft,1000000,42,0.78162,0.9738476167866666,49,2177790
partial_ft,partial_ft,1000000,456,0.786516,0.9750055665422221,85,2177790
partial_ft,partial_ft,100000,123,0.729068,0.9619176265533333,48,2177790
partial_ft,partial_ft,100000,42,0.729096,0.9619877162244445,46,2177790
partial_ft,partial_ft,100000,456,0.728316,0.9616100212533333,46,2177790
partial_ft,partial_ft,10000,123,0.64768,0.9408883194266666,48,2177790
partial_ft,partial_ft,10000,42,0.643142,0.9399064665599999,43,2177790
partial_ft,partial_ft,10000,456,0.65423,0.94178784322,56,2177790
partial_ft,partial_ft,3000000,123,0.810616,0.979354838717778,95,2177790
partial_ft,partial_ft,3000000,42,0.810522,0.9793301210600001,83,2177790
partial_ft,partial_ft,3000000,456,0.810404,0.9794085500244444,100,2177790
partial_ft,partial_ft,300000,123,0.758982,0.9690731915911114,58,2177790
partial_ft,partial_ft,300000,42,0.760028,0.9693433484933335,66,2177790
partial_ft,partial_ft,300000,456,0.75891,0.9689477640866668,59,2177790
partial_ft,partial_ft,30000,123,0.69271,0.95370477518,60,2177790
partial_ft,partial_ft,30000,42,0.694726,0.9535578087044445,53,2177790
partial_ft,partial_ft,30000,456,0.692972,0.95288011674,49,2177790
full_ft_v2,full_ft,3000000,456,0.840224,0.984409687682222,32,2177790
partial_ft,partial_ft,30000000,42,0.8195,0.9810,29,2177790
full_ft,full_ft,30000000,42,0.8489,0.9858,34,2177790
